origin,vol_cbm,weight_ton,partner_longitude,partner_latitude,kecamatan,result
SO359536,3.1722758,1.04974,106.58023829999999,-6.2366981,CURUG,0
SO359443,17.2,4.0,106.72152890000001,-6.3124113,CIPUTAT,1
SO359441,4.3,1.0,106.895996,-6.401955,TAPOS,2
SO359439,3.28015943,0.4522152,106.7592342,-6.1983083,KEMBANGAN,3
SO359434,4.3,1.0,106.8719958,-6.3797413,CIMANGGIS,4
SO360861,0.22335181,0.06581699999999999,106.625868,-6.290457099999999,PAGEDANGAN,5
SO360670,0.089185,0.01634,106.5886942,-6.2874809,LEGOK,5
SO360581,0.02392,0.0132,106.5997493,-6.286123,PAGEDANGAN,5
SO360578,0.04762275,0.0096,106.643294,-6.3288402999999995,CISAUK,5
SO360553,0.025688,0.00294,106.6020538,-6.3439824,CISAUK,5
SO360172,0.041227999999999994,0.013619999999999998,106.5829848,-6.3171973,LEGOK,5
SO360169,0.1485,0.076,106.5778065,-6.29968,LEGOK,5
SO360159,0.0574365,0.008473999999999999,106.64262099999999,-6.3381870000000005,CISAUK,5
SO359375,0.15133925,0.0690395,106.59546200000001,-6.3047115,LEGOK,5
SO361090,0.27369,0.145784,106.559326,-6.2296927,CURUG,6
SO360739,0.5473279999999999,0.03642,106.5858175,-6.248117400000001,CURUG,6
SO360707,0.32346887,0.186628,106.5574863,-6.2548453,CURUG,6
SO360675,0.58063957,0.08513079999999999,106.5471852,-6.250545099999999,CURUG,6
SO360451,0.07266546,0.0278,106.573209,-6.2532139,CURUG,6
SO360449,0.025688,0.0011,106.59141070000001,-6.2764428,LEGOK,6
SO359792,0.0409032,0.008584,106.5680007,-6.244351999999999,CURUG,6
SO359765,0.2318232,0.036389300000000006,106.5691694,-6.2784951,LEGOK,6
SO359530,0.025688,0.00115,106.5552453,-6.2247496,CIKUPA,6
SO359339,0.267205047,0.050816,106.54964890000001,-6.2861455,PANONGAN,6
SO359170,0.32668800000000003,0.0708,106.5536811,-6.2292319,CURUG,6
SO358974,0.00889203,0.0068,106.56643249999999,-6.2627422,CURUG,6
SO361038,0.139469744,0.076865,106.60604209999998,-6.2207359,KELAPA DUA,7
SO361005,0.15926575,0.0336535,106.6467004,-6.2166755,PINANG,7
SO360904,0.050138199999999994,0.018364,106.6223653,-6.2341684,KELAPA DUA,7
SO360244,0.0574365,0.006679999999999999,106.61854299999999,-6.238657,KELAPA DUA,7
SO359821,0.025688,0.0026720000000000003,106.6325129,-6.2167373,PINANG,7
SO359763,0.0574365,0.008115,106.61370840000001,-6.2660102,PAGEDANGAN,7
SO359686,0.10124396,0.0249535,106.6175274,-6.2362008,KELAPA DUA,7
SO359366,0.34816017,0.078193,106.61380919999999,-6.2341107000000004,KELAPA DUA,7
SO359005,0.047477,0.003912,106.629687,-6.219586,CIBODAS,7
SO360519,0.089185,0.017731999999999998,106.3891285,-6.2414623,CISOKA,8
SO359525,0.43,0.1,106.4161223,-6.2184877,BALARAJA,8
SO360777,0.055644500000000006,0.025685000000000003,106.62070790000001,-6.1246704,NEGLASARI,9
SO360340,0.025688,0.001655,106.5274541,-6.107655,RAJEG,9
SO360332,0.025688,0.00016999999999999999,106.52297659999998,-6.1152323,RAJEG,9
SO360108,0.025688,0.00156,106.59878529999999,-6.1442833,SEPATAN TIMUR,9
SO360010,0.1497825,0.09300000000000001,106.52612659999998,-6.0909607,RAJEG,9
SO359963,0.14904552,0.09,106.52689879999998,-6.1224578,RAJEG,9
SO359845,0.172289,0.081484,106.6061473,-6.0929321,PAKUHAJI,9
SO359801,0.12108050000000001,0.05982899999999999,106.52649840000002,-6.126735500000001,RAJEG,9
SO359713,0.17507,0.09,106.63336709999999,-6.1303749000000005,NEGLASARI,9
SO359707,0.11575942,0.030412,106.5356963,-6.144350900000001,PASARKEMIS,9
SO359682,0.03239775,0.0174,106.5654606,-6.1146568,SEPATAN,9
SO359538,0.15802141,0.04555,106.5987827,-6.045523,PAKUHAJI,9
SO359266,0.08619500000000001,0.028668,106.54523200000001,-6.135388,PASARKEMIS,9
SO360905,0.025688,0.00036,106.6123696,-6.1976511,KARAWACI,10
SO360855,0.0416662,0.017628,106.58819869999999,-6.185509,CIBODAS,10
SO360762,0.077064,0.012655,106.60374990000001,-6.183445,CIBODAS,10
SO360743,0.025688,0.003593,106.61227379999998,-6.1899584,KARAWACI,10
SO360730,0.21615336,0.0748563,106.59894569999999,-6.167869400000001,PERIUK,10
SO360485,0.081674,0.04833,106.5680785,-6.1580057,PASARKEMIS,10
SO360173,0.025688,0.004024,106.5812466,-6.1946142,CIBODAS,10
SO359954,0.05106,0.025,106.6054977,-6.179916,KARAWACI,10
SO359951,0.08351526,0.028331,106.57332379999998,-6.2004760999999995,JATI UWUNG,10
SO359937,0.025688,0.001507,106.60990590000002,-6.1647555,KARAWACI,10
SO359810,0.025688,0.00231,106.58946399999999,-6.1825362,PERIUK,10
SO359784,0.034508,0.012448,106.61056,-6.19311,KARAWACI,10
SO359681,0.06062001,0.0456,106.6084357,-6.1785819,KARAWACI,10
SO359669,0.154128,0.018676,106.6311098,-6.1850343,TANGERANG,10
SO359620,0.13072999999999999,0.056603999999999995,106.57320790000001,-6.2008339999999995,JATI UWUNG,10
SO359465,0.3274005,0.1698,106.60118259999999,-6.2075488,CIBODAS,10
SO359106,0.27417600000000003,0.155,106.59743459999999,-6.185516000000001,PERIUK,10
SO359059,0.5900718,0.158024,106.575524,-6.205678,JATI UWUNG,10
SO358869,0.12136792,0.0581,106.57491509999998,-6.184725,PERIUK,10
SO361070,0.042957199999999994,0.006860000000000001,106.5505919,-6.1989444,CURUG,11
SO360868,0.058804999999999996,0.017063,106.52995630000001,-6.1727034000000005,PASARKEMIS,11
SO360788,0.025688,0.009614,106.5338801,-6.1686422,PASARKEMIS,11
SO360642,0.055644500000000006,0.026061,106.5256729,-6.1838055,PASARKEMIS,11
SO360235,1.587425,0.32,106.5279875,-6.228004900000001,CIKUPA,11
SO360234,0.060702,0.023194,106.5480635,-6.1993874,CIKUPA,11
SO359322,0.13072999999999999,0.06176,106.55104329999999,-6.2014401,CIKUPA,11
SO358867,0.12386960000000001,0.066334,106.5291485,-6.1859434,PASARKEMIS,11
SO360345,0.28328600000000004,0.012963,106.727471,-6.2305693,LARANGAN,12
SO359959,0.317485,0.064,106.7204345,-6.2175910000000005,KEMBANGAN,12
SO359741,0.20893142,0.069574,106.72881000000001,-6.22422,KEMBANGAN,12
SO359712,0.12653042,0.063,106.7216132,-6.2166801,KARANG TENGAH,12
SO359484,0.32453685,0.040092,106.72295290000001,-6.2204562,KEMBANGAN,12
SO359135,0.11658389999999999,0.028995299999999998,106.73546950000001,-6.203899,KEMBANGAN,12
SO358935,0.051104000000000004,0.024553,106.725209,-6.222742,KEMBANGAN,12
SO360591,0.255021241,0.14300000000000002,106.7649544,-6.2596871,PESANGGRAHAN,13
SO358929,0.120757085,0.10636,106.7610283,-6.2415367,PESANGGRAHAN,13
SO359635,0.95498405,0.371415,106.737559,-6.231568,LARANGAN,14
SO359237,0.593812,0.065,106.73339080000001,-6.2390016,LARANGAN,14
SO360751,0.1422331,0.0389,106.74326299999998,-6.231323000000001,LARANGAN,15
SO359902,0.26355296,0.036686,106.7495251,-6.231192500000001,PESANGGRAHAN,15
SO359294,0.98460865,0.517988,106.7515531,-6.2263380999999995,PESANGGRAHAN,15
SO359977,0.18611341,0.046244,106.77649679999999,-6.2093443,KEBON JERUK,16
SO359616,0.24039315,0.12659,106.78127240000002,-6.2087802000000005,KEBON JERUK,16
SO359521,0.54197,0.19131900000000002,106.7704348,-6.23201,KEBAYORAN LAMA,16
SO359401,0.171548,0.09642,106.7670195,-6.2202975,KEBON JERUK,16
SO358970,0.17507,0.09,106.78904070000002,-6.220442299999999,KEBAYORAN LAMA,16
SO358960,0.60008861,0.17868,106.7696228,-6.2320348,KEBAYORAN LAMA,16
SO360907,0.154225085,0.0993955,106.7523477,-6.195139900000001,KEMBANGAN,17
SO360882,0.18771026,0.0712,106.76684070000002,-6.202515200000001,KEBON JERUK,17
SO360555,0.09761449999999999,0.01403,106.7813709,-6.185503,GROGOL PETAMBURAN,17
SO359836,0.13625045,0.046319000000000006,106.7606247,-6.200353099999999,KEMBANGAN,17
SO359504,0.13964038,0.071896,106.764154,-6.202518599999999,KEMBANGAN,17
SO359301,0.320805625,0.15293199999999998,106.7629477,-6.191647799999999,KEBON JERUK,17
SO359254,0.54704,0.425,106.75802140000002,-6.2032196,KEMBANGAN,17
SO359062,0.46719499999999997,0.110576,106.779799,-6.1824580000000005,KEBON JERUK,17
SO358936,0.366235,0.22,106.769332,-6.187174,KEBON JERUK,17
SO360893,0.160208675,0.118394,106.73049650000002,-6.2586222000000005,PONDOK AREN,18
SO360518,0.015215200000000002,0.006999999999999999,106.72827290000001,-6.2635332,PONDOK AREN,18
SO360488,0.26216525,0.065969,106.74458,-6.26515,PONDOK AREN,18
SO360315,0.36354549999999997,0.048219,106.73201670000002,-6.278363400000001,CIPUTAT TIMUR,18
SO359874,0.23254025,0.033786000000000004,106.7303726,-6.262564599999999,PONDOK AREN,18
SO359476,0.22525599999999998,0.018953,106.71157009999999,-6.2761932,PONDOK AREN,18
SO358901,0.078347,0.0158,106.7256058,-6.2625253,PONDOK AREN,18
SO360994,0.408224,0.028919999999999998,106.728907,-6.239812000000001,LARANGAN,19
SO360050,0.1809878,0.0452,106.7184311,-6.2517582,PONDOK AREN,19
SO359724,0.43364278,0.05271,106.7289142,-6.239685,LARANGAN,19
SO359565,0.090629,0.036836,106.72050700000001,-6.256333000000001,PONDOK AREN,19
SO359446,1.0051188,0.14428,106.7277554,-6.2398318,LARANGAN,19
SO359381,0.369688,0.0832,106.7261263,-6.2490315999999995,LARANGAN,19
SO358865,0.06959403,0.02515,106.724227,-6.2555236,PONDOK AREN,19
SO360668,0.0574365,0.011579,106.686024,-6.234653,PONDOK AREN,20
SO360588,0.09523999999999999,0.011476,106.68482,-6.23388,PONDOK AREN,20
SO360374,0.127371,0.0453,106.68578559999999,-6.2317288,PONDOK AREN,20
SO360373,0.21789499999999998,0.039020000000000006,106.69185590000001,-6.2604232,PONDOK AREN,20
SO360213,0.060702,0.023194,106.6833101,-6.236025499999999,PONDOK AREN,20
SO359398,0.1821672,0.053366,106.6799541,-6.2363922,PONDOK AREN,20
SO359257,0.268055525,0.0778275,106.6758941,-6.24755,SERPONG UTARA,20
SO359220,0.18279925,0.0458,106.682724,-6.231659,PONDOK AREN,20
SO361053,0.286508,0.01817,106.7112824,-6.2282294,CILEDUG,21
SO360589,0.37433096,0.119504,106.70605890000002,-6.2205558,KARANG TENGAH,21
SO359924,0.295133,0.027308,106.70088,-6.231236,CILEDUG,21
SO359605,0.15015,0.035171999999999995,106.6964341,-6.2194023000000005,KARANG TENGAH,21
SO359537,0.17507,0.09,106.71295,-6.2229295,KARANG TENGAH,21
SO359077,0.3587008,0.0325,106.7104602,-6.2324904000000005,CILEDUG,21
SO360819,0.219152585,0.015234799999999998,106.7010545,-6.2352625999999995,CILEDUG,22
SO360296,0.1717565,0.049113,106.7061602,-6.2376832,CILEDUG,22
SO360267,0.21188393,0.121374,106.7163545,-6.2418568,CILEDUG,22
SO359881,0.14898599999999998,0.029526,106.70777350000002,-6.2388398,CILEDUG,22
SO359872,0.24438249999999997,0.043668,106.6989226,-6.2408293,CILEDUG,22
SO359705,0.19519885,0.056938,106.69679409999999,-6.2439933,CILEDUG,22
SO359700,0.12923495,0.06838999999999999,106.715167,-6.240158,CILEDUG,22
SO359449,0.18279925,0.0458,106.7123673,-6.242642900000001,CILEDUG,22
SO359400,0.172,0.04,106.7044791,-6.2528224,CILEDUG,22
SO359215,0.1229638,0.065089,106.7056801,-6.2527527,CILEDUG,22
SO361042,1.1714598440000001,0.6310370000000001,106.68405759999999,-6.2946434,SERPONG,23
SO360984,0.13713365,0.07062,106.66860600000001,-6.290585,SERPONG,23
SO359886,0.1254885,0.06518399999999999,106.696603,-6.296558999999999,SERPONG,23
SO359859,0.101249125,0.057833,106.67047120000001,-6.2721875,SERPONG UTARA,23
SO359823,0.6328136999999999,0.3998,106.68896559999999,-6.302956099999999,SERPONG,23
SO359021,0.36595775,0.076596,106.69295530000001,-6.2772794,PONDOK AREN,23
SO358923,0.07113624,0.0544,106.70749679999999,-6.2936396,CIPUTAT,23
SO359326,0.822636,0.0968355,106.6664,-6.32805,SETU,24
SO359184,0.1281385,0.051877,106.66577029999999,-6.3044472,SERPONG,24
SO360967,0.00889203,0.0068,106.6711743,-6.0190497,TELUKNAGA,25
SO360957,0.23330313,0.13507,106.64254369999999,-6.0786777999999995,TELUKNAGA,25
SO360846,0.13074725,0.019603,106.6494836,-6.066671599999999,TELUKNAGA,25
SO360422,0.025688,0.006875,106.69526950000001,-6.082168299999999,KOSAMBI,25
SO359906,0.19086981,0.043532999999999995,106.7031727,-6.099042400000001,KALI DERES,25
SO359844,0.025688,0.00093,106.6717437,-6.0196913,TELUKNAGA,25
SO359673,0.10980005,0.035453000000000005,106.71272520000001,-6.1128384,KALI DERES,25
SO359506,0.01670217,5.8e-06,106.7040257,-6.1004357,KALI DERES,25
SO359421,0.22974076,0.09179,106.723,-6.11388,KALI DERES,25
SO359353,0.025688,0.006429000000000001,106.70575420000002,-6.122351999999999,KALI DERES,25
SO359222,0.043195,0.017329,106.71255259999998,-6.1120816,KALI DERES,25
SO359036,0.029254500000000003,0.00998,106.67632749999999,-6.016752200000001,TELUKNAGA,25
SO358991,0.04156225,0.013746,106.68014209999998,-6.0907032,KOSAMBI,25
SO358982,0.025688,0.006384,106.71935659999998,-6.1070863,KALI DERES,25
SO360963,0.058469625,0.0338,106.6752978,-6.1608418,BATUCEPER,26
SO360919,0.06837788,0.04324,106.66607420000001,-6.1525894,BENDA,26
SO360890,0.179816,0.025254,106.66620990000001,-6.1368315,BENDA,26
SO360864,0.13401625,0.049136000000000006,106.65411110000001,-6.152612599999999,BATUCEPER,26
SO360402,0.04970675,0.0101,106.65243159999999,-6.1527842,BATUCEPER,26
SO359759,0.061799295,0.030281,106.64774070000001,-6.173803599999999,TANGERANG,26
SO359600,0.11549942,0.061045,106.67116499999999,-6.179317,BATUCEPER,26
SO359560,0.025688,0.0008710000000000001,106.6523453,-6.1717547,TANGERANG,26
SO359380,0.2532685,0.096512,106.6666527,-6.161950599999999,BATUCEPER,26
SO359191,0.11544000000000001,0.039779,106.65571940000001,-6.170428599999999,TANGERANG,26
SO359108,0.43,0.1,106.67234199999999,-6.164256,BATUCEPER,26
SO361054,0.025688,0.00165,106.6807605,-6.1511441,BENDA,27
SO361021,0.93658075,0.1888,106.6856142,-6.1812364,CIPONDOH,27
SO360880,0.04446015,0.034,106.6804976,-6.1504433,BENDA,27
SO360635,0.05052892,0.018936,106.702367,-6.177693799999999,CENGKARENG,27
SO360004,0.109020755,0.0302808,106.689978,-6.132711799999999,BENDA,27
SO359429,0.06725025,0.015425,106.6964433,-6.1685182,KALI DERES,27
SO359406,0.72464236,0.23504029999999998,106.69593259999999,-6.169279,KALI DERES,27
SO359404,0.025688,0.010367,106.68382509999999,-6.1340484,BENDA,27
SO359348,0.13681117,0.0866078,106.69593259999999,-6.169279,KALI DERES,27
SO359045,0.187503,0.045049,106.69594040000001,-6.169188,KALI DERES,27
SO359038,0.05198869999999999,0.013585000000000002,106.68018899999998,-6.1501093000000004,BENDA,27
SO358890,0.038107999999999996,0.011514,106.70751240000001,-6.1556724,KALI DERES,27
SO361050,0.199568,0.021240000000000002,106.7894057,-6.1614489,GROGOL PETAMBURAN,28
SO360982,0.15523979999999998,0.051039,106.79979499999999,-6.165630999999999,GROGOL PETAMBURAN,28
SO360092,0.19155999999999998,0.027999999999999997,106.7650321,-6.1641469,KEBON JERUK,28
SO359934,0.19166225,0.031351,106.79223429999999,-6.1618304,GROGOL PETAMBURAN,28
SO359093,0.17733446,0.12322999999999999,106.76802930000001,-6.1563707,CENGKARENG,28
SO359040,0.14636035,0.043439,106.7916767,-6.149485299999999,GROGOL PETAMBURAN,28
SO359039,0.3863116,0.037948,106.7799855,-6.16937,GROGOL PETAMBURAN,28
